DATAFLOW,LAST UPDATE,freq,nace_r2,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT33,2021,3.8,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2008,2.4,bu
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2009,2.6,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2010,2.6,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2011,2.6,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2012,2.5,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2013,2.4,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2014,2.5,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2015,2.6,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2016,2.4,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2017,2.7,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2018,2.3,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2019,2.1,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2020,2.1,u
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,AT34,2021,3.0,bu
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2008,4.4,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2009,4.5,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2010,4.7,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2011,4.6,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2012,4.7,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2013,4.4,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2014,4.4,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2015,4.4,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2016,4.3,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2017,4.6,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2018,4.9,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2019,5.1,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2020,5.1,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE,2021,5.7,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2008,6.4,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2009,5.8,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2010,7.1,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2011,6.4,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2012,7.0,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2013,5.6,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2014,6.3,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2015,6.2,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2016,5.8,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2017,6.1,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2018,7.4,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2019,6.6,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2020,6.6,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE1,2021,7.6,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE10,2008,6.4,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE10,2009,5.8,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE10,2010,7.1,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE10,2011,6.4,b
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE10,2012,7.0,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE10,2013,5.6,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE10,2014,6.3,
ESTAT:HTEC_EMP_REG2(1.0),27/09/22 23:00:00,A,HTC,PC_EMP,T,BE10,2015,6.2,
