Provinces;Five-year age group;Nationality;Sex;Period;Total
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2016;2,616.821907
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2016;2,649.071038
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2015;2,619.351955
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2015;2,666.119662
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2014;2,825.535778
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2014;3,105.116385
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2013;3,463.258710
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2013;3,862.284657
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2012;3,951.029316
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2012;4,049.226302
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2011;4,148.652912
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2011;4,247.546405
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2010;4,318.747130
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2010;4,443.184357
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2009;4,622.901820
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2009;4,524.567003
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2008;4,316.359796
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2008;4,144.531225
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2007;3,874.610630
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2007;3,655.192551
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2006;3,376.346200
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2006;3,175.791360
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2005;2,995.753442
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2005;2,738.153314
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2004;2,512.477804
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2004;2,386.513352
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2003;2,216.961836
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2003;1,982.721277
27 Lugo;Total;De Sudamérica;Both sexes;1 July 2002;1,774.304412
27 Lugo;Total;De Sudamérica;Both sexes;1 January 2002;1,469.702130
27 Lugo;Total;De Asia;Both sexes;1 July 2022;1,203.742938
27 Lugo;Total;De Asia;Both sexes;1 January 2022;1,147.742938
27 Lugo;Total;De Asia;Both sexes;1 July 2021;1,109.742938
27 Lugo;Total;De Asia;Both sexes;1 January 2021;1,024.742938
27 Lugo;Total;De Asia;Both sexes;1 July 2020;944.742938
27 Lugo;Total;De Asia;Both sexes;1 January 2020;913.742938
27 Lugo;Total;De Asia;Both sexes;1 July 2019;855.742938
27 Lugo;Total;De Asia;Both sexes;1 January 2019;810.742938
27 Lugo;Total;De Asia;Both sexes;1 July 2018;775.742938
27 Lugo;Total;De Asia;Both sexes;1 January 2018;761.742938
27 Lugo;Total;De Asia;Both sexes;1 July 2017;712.742938
27 Lugo;Total;De Asia;Both sexes;1 January 2017;707.742938
27 Lugo;Total;De Asia;Both sexes;1 July 2016;687.259435
27 Lugo;Total;De Asia;Both sexes;1 January 2016;675.130896
27 Lugo;Total;De Asia;Both sexes;1 July 2015;658.104276
27 Lugo;Total;De Asia;Both sexes;1 January 2015;657.691621
27 Lugo;Total;De Asia;Both sexes;1 July 2014;667.210435
27 Lugo;Total;De Asia;Both sexes;1 January 2014;683.233941
27 Lugo;Total;De Asia;Both sexes;1 July 2013;702.070399
27 Lugo;Total;De Asia;Both sexes;1 January 2013;698.216090
27 Lugo;Total;De Asia;Both sexes;1 July 2012;690.332610
27 Lugo;Total;De Asia;Both sexes;1 January 2012;655.638312
27 Lugo;Total;De Asia;Both sexes;1 July 2011;627.847656
27 Lugo;Total;De Asia;Both sexes;1 January 2011;616.612134
27 Lugo;Total;De Asia;Both sexes;1 July 2010;622.937356
27 Lugo;Total;De Asia;Both sexes;1 January 2010;626.397257
27 Lugo;Total;De Asia;Both sexes;1 July 2009;632.868908
27 Lugo;Total;De Asia;Both sexes;1 January 2009;581.190828
27 Lugo;Total;De Asia;Both sexes;1 July 2008;522.173572
27 Lugo;Total;De Asia;Both sexes;1 January 2008;415.353461
27 Lugo;Total;De Asia;Both sexes;1 July 2007;315.717917
27 Lugo;Total;De Asia;Both sexes;1 January 2007;219.165011
27 Lugo;Total;De Asia;Both sexes;1 July 2006;200.506960
27 Lugo;Total;De Asia;Both sexes;1 January 2006;182.930254
27 Lugo;Total;De Asia;Both sexes;1 July 2005;163.744768
27 Lugo;Total;De Asia;Both sexes;1 January 2005;143.633146
27 Lugo;Total;De Asia;Both sexes;1 July 2004;121.547768
27 Lugo;Total;De Asia;Both sexes;1 January 2004;107.411298
27 Lugo;Total;De Asia;Both sexes;1 July 2003;101.281792
27 Lugo;Total;De Asia;Both sexes;1 January 2003;91.018660
27 Lugo;Total;De Asia;Both sexes;1 July 2002;85.036696
27 Lugo;Total;De Asia;Both sexes;1 January 2002;77.208316
27 Lugo;Total;De Oceanía;Both sexes;1 July 2022;12.989828
27 Lugo;Total;De Oceanía;Both sexes;1 January 2022;12.989828
27 Lugo;Total;De Oceanía;Both sexes;1 July 2021;11.989828
27 Lugo;Total;De Oceanía;Both sexes;1 January 2021;11.989828
27 Lugo;Total;De Oceanía;Both sexes;1 July 2020;10.989828
27 Lugo;Total;De Oceanía;Both sexes;1 January 2020;10.989828
27 Lugo;Total;De Oceanía;Both sexes;1 July 2019;8.989828
27 Lugo;Total;De Oceanía;Both sexes;1 January 2019;7.989828
27 Lugo;Total;De Oceanía;Both sexes;1 July 2018;7.989828
27 Lugo;Total;De Oceanía;Both sexes;1 January 2018;7.989828
27 Lugo;Total;De Oceanía;Both sexes;1 July 2017;6.989828
27 Lugo;Total;De Oceanía;Both sexes;1 January 2017;6.989828
27 Lugo;Total;De Oceanía;Both sexes;1 July 2016;6.115919
27 Lugo;Total;De Oceanía;Both sexes;1 January 2016;6.115919
27 Lugo;Total;De Oceanía;Both sexes;1 July 2015;7.070986
27 Lugo;Total;De Oceanía;Both sexes;1 January 2015;7.070986
27 Lugo;Total;De Oceanía;Both sexes;1 July 2014;6.192080
27 Lugo;Total;De Oceanía;Both sexes;1 January 2014;5.303810
27 Lugo;Total;De Oceanía;Both sexes;1 July 2013;4.299511
27 Lugo;Total;De Oceanía;Both sexes;1 January 2013;4.299511
27 Lugo;Total;De Oceanía;Both sexes;1 July 2012;4.299512
27 Lugo;Total;De Oceanía;Both sexes;1 January 2012;3.294834
27 Lugo;Total;De Oceanía;Both sexes;1 July 2011;3.653124
27 Lugo;Total;De Oceanía;Both sexes;1 January 2011;3.835858
27 Lugo;Total;De Oceanía;Both sexes;1 July 2010;5.418966
27 Lugo;Total;De Oceanía;Both sexes;1 January 2010;6.732594
27 Lugo;Total;De Oceanía;Both sexes;1 July 2009;8.183290
27 Lugo;Total;De Oceanía;Both sexes;1 January 2009;9.648831
27 Lugo;Total;De Oceanía;Both sexes;1 July 2008;7.084062
27 Lugo;Total;De Oceanía;Both sexes;1 January 2008;7.529275
27 Lugo;Total;De Oceanía;Both sexes;1 July 2007;11.109650
27 Lugo;Total;De Oceanía;Both sexes;1 January 2007;12.454088
27 Lugo;Total;De Oceanía;Both sexes;1 July 2006;13.263212
27 Lugo;Total;De Oceanía;Both sexes;1 January 2006;15.641805
27 Lugo;Total;De Oceanía;Both sexes;1 July 2005;17.293476
27 Lugo;Total;De Oceanía;Both sexes;1 January 2005;17.845488
27 Lugo;Total;De Oceanía;Both sexes;1 July 2004;18.297114
27 Lugo;Total;De Oceanía;Both sexes;1 January 2004;20.432078
27 Lugo;Total;De Oceanía;Both sexes;1 July 2003;21.733710
27 Lugo;Total;De Oceanía;Both sexes;1 January 2003;21.818680
27 Lugo;Total;De Oceanía;Both sexes;1 July 2002;21.903654
27 Lugo;Total;De Oceanía;Both sexes;1 January 2002;11.988632
27 Lugo;Total;Stateless persons;Both sexes;1 July 2022;5.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2022;6.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2021;6.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2021;5.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2020;5.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2020;5.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2019;3.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2019;2.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2018;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2018;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2017;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2017;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2016;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2016;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2015;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2015;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2014;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2014;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2013;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2013;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2012;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2012;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2011;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2011;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2010;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2010;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2009;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2009;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2008;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 January 2008;0.000000
27 Lugo;Total;Stateless persons;Both sexes;1 July 2007;0.567664
27 Lugo;Total;Stateless persons;Both sexes;1 January 2007;0.517576
27 Lugo;Total;Stateless persons;Both sexes;1 July 2006;0.934528
27 Lugo;Total;Stateless persons;Both sexes;1 January 2006;0.834400
27 Lugo;Total;Stateless persons;Both sexes;1 July 2005;0.734272
27 Lugo;Total;Stateless persons;Both sexes;1 January 2005;0.634144
27 Lugo;Total;Stateless persons;Both sexes;1 July 2004;0.534016
27 Lugo;Total;Stateless persons;Both sexes;1 January 2004;0.433888
27 Lugo;Total;Stateless persons;Both sexes;1 July 2003;0.333760
27 Lugo;Total;Stateless persons;Both sexes;1 January 2003;0.233632
27 Lugo;Total;Stateless persons;Both sexes;1 July 2002;0.133504
27 Lugo;Total;Stateless persons;Both sexes;1 January 2002;0.033376
28 Madrid;Total;Total;Both sexes;1 July 2022;6,825,005.307136
28 Madrid;Total;Total;Both sexes;1 January 2022;6,769,372.927730
28 Madrid;Total;Total;Both sexes;1 July 2021;6,738,360.713121
28 Madrid;Total;Total;Both sexes;1 January 2021;6,755,827.858510
28 Madrid;Total;Total;Both sexes;1 July 2020;6,757,041.941515
28 Madrid;Total;Total;Both sexes;1 January 2020;6,747,068.164513
28 Madrid;Total;Total;Both sexes;1 July 2019;6,686,513.139706
28 Madrid;Total;Total;Both sexes;1 January 2019;6,641,648.394891
28 Madrid;Total;Total;Both sexes;1 July 2018;6,586,681.457177
28 Madrid;Total;Total;Both sexes;1 January 2018;6,549,519.399462
28 Madrid;Total;Total;Both sexes;1 July 2017;6,504,797.416146
28 Madrid;Total;Total;Both sexes;1 January 2017;6,476,705.372825
28 Madrid;Total;Total;Both sexes;1 July 2016;6,445,484.409033
28 Madrid;Total;Total;Both sexes;1 January 2016;6,424,275.491714
28 Madrid;Total;Total;Both sexes;1 July 2015;6,401,162.192578
28 Madrid;Total;Total;Both sexes;1 January 2015;6,385,297.652664
28 Madrid;Total;Total;Both sexes;1 July 2014;6,376,748.518252
28 Madrid;Total;Total;Both sexes;1 January 2014;6,378,297.307654
28 Madrid;Total;Total;Both sexes;1 July 2013;6,392,712.737689
28 Madrid;Total;Total;Both sexes;1 January 2013;6,414,708.714806
28 Madrid;Total;Total;Both sexes;1 July 2012;6,426,228.674625
28 Madrid;Total;Total;Both sexes;1 January 2012;6,425,573.351874
28 Madrid;Total;Total;Both sexes;1 July 2011;6,409,093.492167
28 Madrid;Total;Total;Both sexes;1 January 2011;6,394,239.240063
28 Madrid;Total;Total;Both sexes;1 July 2010;6,384,357.812063
28 Madrid;Total;Total;Both sexes;1 January 2010;6,373,532.170892
28 Madrid;Total;Total;Both sexes;1 July 2009;6,354,090.832052
28 Madrid;Total;Total;Both sexes;1 January 2009;6,327,594.000414
28 Madrid;Total;Total;Both sexes;1 July 2008;6,283,747.025095
28 Madrid;Total;Total;Both sexes;1 January 2008;6,226,194.699441
28 Madrid;Total;Total;Both sexes;1 July 2007;6,152,758.609962
28 Madrid;Total;Total;Both sexes;1 January 2007;6,074,983.702747
28 Madrid;Total;Total;Both sexes;1 July 2006;6,003,925.026935
28 Madrid;Total;Total;Both sexes;1 January 2006;5,953,603.997760
28 Madrid;Total;Total;Both sexes;1 July 2005;5,912,334.858643
28 Madrid;Total;Total;Both sexes;1 January 2005;5,866,186.450933
28 Madrid;Total;Total;Both sexes;1 July 2004;5,807,962.166684
28 Madrid;Total;Total;Both sexes;1 January 2004;5,766,566.270144
28 Madrid;Total;Total;Both sexes;1 July 2003;5,708,433.376639
28 Madrid;Total;Total;Both sexes;1 January 2003;5,638,827.306648
28 Madrid;Total;Total;Both sexes;1 July 2002;5,561,621.994743
28 Madrid;Total;Total;Both sexes;1 January 2002;5,478,405.043214
28 Madrid;Total;Spanish ;Both sexes;1 July 2022;5,907,874.844003
28 Madrid;Total;Spanish ;Both sexes;1 January 2022;5,886,920.051501
28 Madrid;Total;Spanish ;Both sexes;1 July 2021;5,876,270.455879
28 Madrid;Total;Spanish ;Both sexes;1 January 2021;5,877,305.220260
28 Madrid;Total;Spanish ;Both sexes;1 July 2020;5,879,761.027516
28 Madrid;Total;Spanish ;Both sexes;1 January 2020;5,890,675.014769
28 Madrid;Total;Spanish ;Both sexes;1 July 2019;5,871,145.127355
28 Madrid;Total;Spanish ;Both sexes;1 January 2019;5,855,365.559939
28 Madrid;Total;Spanish ;Both sexes;1 July 2018;5,836,841.130179
28 Madrid;Total;Spanish ;Both sexes;1 January 2018;5,819,628.620420
28 Madrid;Total;Spanish ;Both sexes;1 July 2017;5,801,280.755337
28 Madrid;Total;Spanish ;Both sexes;1 January 2017;5,778,602.790250
28 Madrid;Total;Spanish ;Both sexes;1 July 2016;5,752,708.610085
28 Madrid;Total;Spanish ;Both sexes;1 January 2016;5,726,167.948785
28 Madrid;Total;Spanish ;Both sexes;1 July 2015;5,702,227.000437
28 Madrid;Total;Spanish ;Both sexes;1 January 2015;5,676,417.584347
28 Madrid;Total;Spanish ;Both sexes;1 July 2014;5,645,039.011924
28 Madrid;Total;Spanish ;Both sexes;1 January 2014;5,604,265.394372
28 Madrid;Total;Spanish ;Both sexes;1 July 2013;5,568,989.066267
28 Madrid;Total;Spanish ;Both sexes;1 January 2013;5,539,703.935326
28 Madrid;Total;Spanish ;Both sexes;1 July 2012;5,518,508.194022
28 Madrid;Total;Spanish ;Both sexes;1 January 2012;5,486,497.721007
28 Madrid;Total;Spanish ;Both sexes;1 July 2011;5,453,750.221510
28 Madrid;Total;Spanish ;Both sexes;1 January 2011;5,422,233.818181
28 Madrid;Total;Spanish ;Both sexes;1 July 2010;5,392,504.964664
28 Madrid;Total;Spanish ;Both sexes;1 January 2010;5,360,908.920723
28 Madrid;Total;Spanish ;Both sexes;1 July 2009;5,331,926.750118
28 Madrid;Total;Spanish ;Both sexes;1 January 2009;5,313,858.919441
28 Madrid;Total;Spanish ;Both sexes;1 July 2008;5,288,315.874255
28 Madrid;Total;Spanish ;Both sexes;1 January 2008;5,259,429.775196
28 Madrid;Total;Spanish ;Both sexes;1 July 2007;5,232,925.444931
28 Madrid;Total;Spanish ;Both sexes;1 January 2007;5,212,030.782024
28 Madrid;Total;Spanish ;Both sexes;1 July 2006;5,193,362.725160
28 Madrid;Total;Spanish ;Both sexes;1 January 2006;5,170,635.888007
28 Madrid;Total;Spanish ;Both sexes;1 July 2005;5,158,486.888707
28 Madrid;Total;Spanish ;Both sexes;1 January 2005;5,148,260.690895
28 Madrid;Total;Spanish ;Both sexes;1 July 2004;5,138,229.226175
28 Madrid;Total;Spanish ;Both sexes;1 January 2004;5,124,226.558679
28 Madrid;Total;Spanish ;Both sexes;1 July 2003;5,113,369.009708
28 Madrid;Total;Spanish ;Both sexes;1 January 2003;5,102,998.833753
28 Madrid;Total;Spanish ;Both sexes;1 July 2002;5,090,189.102844
28 Madrid;Total;Spanish ;Both sexes;1 January 2002;5,076,631.457389
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2022;272,166.321282
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2022;274,156.525022
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2021;272,258.146939
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2021;271,492.728854
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2020;272,131.277257
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2020;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2019;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2019;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2018;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2018;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2017;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2017;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2016;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2016;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2015;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2015;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2014;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2014;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2013;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2013;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2012;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2012;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2011;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2011;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2010;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2010;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2009;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2009;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2008;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2008;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2007;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2007;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2006;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 January 2006;""
28 Madrid;Total;País de la UE27_2020 sin España;Both sexes;1 July 2005;""
